Unnamed: 0,Simulation,Category,Object,Parameter,Data File
397,REAL_TIME,Generator,115,PMax MW,REAL_TIME_wind.csv
398,DAY_AHEAD,Generator,117,PMin MW,DAY_AHEAD_wind.csv
399,DAY_AHEAD,Generator,117,PMax MW,DAY_AHEAD_wind.csv
400,REAL_TIME,Generator,117,PMin MW,REAL_TIME_wind.csv
401,REAL_TIME,Generator,117,PMax MW,REAL_TIME_wind.csv
410,DAY_AHEAD,Generator,125,PMin MW,DAY_AHEAD_wind.csv
411,DAY_AHEAD,Generator,125,PMax MW,DAY_AHEAD_wind.csv
412,REAL_TIME,Generator,125,PMin MW,REAL_TIME_wind.csv
413,REAL_TIME,Generator,125,PMax MW,REAL_TIME_wind.csv
414,DAY_AHEAD,Generator,128,PMin MW,DAY_AHEAD_wind.csv
415,DAY_AHEAD,Generator,128,PMax MW,DAY_AHEAD_wind.csv
416,REAL_TIME,Generator,128,PMin MW,REAL_TIME_wind.csv
417,REAL_TIME,Generator,128,PMax MW,REAL_TIME_wind.csv
442,DAY_AHEAD,Generator,139,PMin MW,DAY_AHEAD_wind.csv
443,DAY_AHEAD,Generator,139,PMax MW,DAY_AHEAD_wind.csv
444,REAL_TIME,Generator,139,PMin MW,REAL_TIME_wind.csv
445,REAL_TIME,Generator,139,PMax MW,REAL_TIME_wind.csv
466,DAY_AHEAD,Generator,157,PMin MW,DAY_AHEAD_wind.csv
467,DAY_AHEAD,Generator,157,PMax MW,DAY_AHEAD_wind.csv
468,REAL_TIME,Generator,157,PMin MW,REAL_TIME_wind.csv
469,REAL_TIME,Generator,157,PMax MW,REAL_TIME_wind.csv
474,DAY_AHEAD,Generator,162,PMin MW,DAY_AHEAD_wind.csv
475,DAY_AHEAD,Generator,162,PMax MW,DAY_AHEAD_wind.csv
476,REAL_TIME,Generator,162,PMin MW,REAL_TIME_wind.csv
477,REAL_TIME,Generator,162,PMax MW,REAL_TIME_wind.csv
490,DAY_AHEAD,Generator,194,PMin MW,DAY_AHEAD_wind.csv
491,DAY_AHEAD,Generator,194,PMax MW,DAY_AHEAD_wind.csv
492,REAL_TIME,Generator,194,PMin MW,REAL_TIME_wind.csv
493,REAL_TIME,Generator,194,PMax MW,REAL_TIME_wind.csv
498,DAY_AHEAD,Generator,204,PMin MW,DAY_AHEAD_wind.csv
499,DAY_AHEAD,Generator,204,PMax MW,DAY_AHEAD_wind.csv
500,REAL_TIME,Generator,204,PMin MW,REAL_TIME_wind.csv
501,REAL_TIME,Generator,204,PMax MW,REAL_TIME_wind.csv
502,DAY_AHEAD,Generator,205,PMin MW,DAY_AHEAD_wind.csv
503,DAY_AHEAD,Generator,205,PMax MW,DAY_AHEAD_wind.csv
504,REAL_TIME,Generator,205,PMin MW,REAL_TIME_wind.csv
505,REAL_TIME,Generator,205,PMax MW,REAL_TIME_wind.csv
506,DAY_AHEAD,Generator,206,PMin MW,DAY_AHEAD_wind.csv
507,DAY_AHEAD,Generator,206,PMax MW,DAY_AHEAD_wind.csv
508,REAL_TIME,Generator,206,PMin MW,REAL_TIME_wind.csv
509,REAL_TIME,Generator,206,PMax MW,REAL_TIME_wind.csv
542,DAY_AHEAD,Generator,266,PMin MW,DAY_AHEAD_wind.csv
543,DAY_AHEAD,Generator,266,PMax MW,DAY_AHEAD_wind.csv
