Datetime,Abilene 2 345_LMP,Abilene 2 345_LMP DA,Abilene 5 345_LMP,Abilene 5 345_LMP DA,Adrian 1 345_LMP,Adrian 1 345_LMP DA,Agua Dulce 345_LMP,Agua Dulce 345_LMP DA,Allen 1 345_LMP,Allen 1 345_LMP DA,Alpine 2 345_LMP,Alpine 2 345_LMP DA,Alto 345_LMP,Alto 345_LMP DA,Art 345_LMP,Art 345_LMP DA,Austin 17 345_LMP,Austin 17 345_LMP DA,Austin 22 345_LMP,Austin 22 345_LMP DA,Austin 27 345_LMP,Austin 27 345_LMP DA,Bastrop 2 345_LMP,Bastrop 2 345_LMP DA,Bayside 1 345_LMP,Bayside 1 345_LMP DA,Bayside 3 345_LMP,Bayside 3 345_LMP DA,Blue Ridge 345_LMP,Blue Ridge 345_LMP DA,Blum 345_LMP,Blum 345_LMP DA,Brenham 345_LMP,Brenham 345_LMP DA,Brownsville 1 345_LMP,Brownsville 1 345_LMP DA,Brownsville 2 345_LMP,Brownsville 2 345_LMP DA,Bryan 1 345_LMP,Bryan 1 345_LMP DA,Bryan 5 345_LMP,Bryan 5 345_LMP DA
2035-01-02 09:00:00,36.121471,36.121471,35.395711,35.395711,36.556082,36.556082,10.101958,10.101958,43.138989,43.138989,25.366841,25.366841,3.098294,3.098294,17.509557,17.509557,13.667889,13.667889,13.667889,13.667889,11.307867,11.307867,8.511606,8.511606,9.89874,9.89874,10.101958,10.101958,43.105242,43.105242,51.665145,51.665145,6.317302,6.317302,10.595525,10.595525,10.589799,10.589799,5.35374,5.35374,5.35374,5.35374
2035-01-02 10:00:00,14.734135,14.734135,14.611986,14.611986,15.879429,15.879429,9.315431,9.315431,20.106021,20.106021,12.406865,12.406865,4.720687,4.720687,10.603556,10.603556,9.618128,9.618128,9.618128,9.618128,8.912897,8.912897,8.077307,8.077307,9.282587,9.282587,9.315431,9.315431,20.094925,20.094925,22.270131,22.270131,7.693444,7.693444,9.395202,9.395202,9.394277,9.394277,6.714882,6.714882,6.714882,6.714882
2035-01-02 11:00:00,99.350599,99.296057,97.186571,97.132011,100.513413,100.458033,19.326835,19.326947,119.47206,119.412568,11.357797,12.406865,2.616528,2.616529,41.303356,41.301592,29.778895,29.778264,29.778895,29.778264,22.688762,22.688296,14.288049,14.287777,18.727795,18.727902,19.326835,19.326947,119.375682,119.316216,143.727971,143.661242,7.796952,7.796847,20.781753,20.78188,20.764874,20.765002,4.645118,4.645042,4.645118,4.645042
2035-01-02 12:00:00,18.908852,18.908852,18.767252,18.767252,19.104806,19.104806,14.782156,14.782156,20.948686,20.948686,16.757118,16.757118,5.000017,5.000017,15.096577,15.096577,13.969667,13.969667,13.969667,13.969667,12.974126,12.974126,11.794564,11.794564,14.781103,14.781103,14.782156,14.782156,20.938554,20.938554,23.586832,23.586832,11.69447,11.69447,14.784712,14.784712,14.784683,14.784683,9.190727,9.190727,9.190727,9.190727
2035-01-02 13:00:00,12.63805,14.17434,12.877797,14.365139,12.740032,14.2555,10.30968,16.394167,11.801413,13.508516,-191.877728,16.906659,6.489236,9.478723,8.705308,19.210117,9.851761,21.592208,9.851761,21.592208,10.76496,24.264536,7.105397,6.797002,10.361845,16.286724,10.30968,16.394167,11.804724,13.51115,11.13788,12.980453,8.599479,10.094633,10.182985,16.655118,10.184454,16.652091,7.333692,9.120414,7.333692,9.120414
2035-01-02 14:00:00,30.863807,30.863807,31.797643,31.797643,31.261034,31.261034,11.21718,11.21718,27.605039,27.605039,-1000.0,-1000.0,7.548878,7.548878,4.339607,4.339607,8.281994,8.281994,8.281994,8.281994,11.374365,11.374365,5.573537,5.573537,11.456242,11.456242,11.21718,11.21718,27.617933,27.617933,25.020522,25.020522,9.865011,9.865011,10.636558,10.636558,10.643294,10.643294,7.529624,7.529624,7.529624,7.529624
2035-01-02 15:00:00,18.639656,17.863011,18.722319,18.134617,18.752154,18.008348,15.52389,28.062793,18.817797,17.09502,19.785425,21.739342,10.74982,7.761503,21.042675,24.485794,23.345454,25.579911,23.345454,25.579911,26.385128,26.012632,5.841295,18.003405,15.331908,28.166903,15.52389,28.062793,18.81647,17.097818,19.2671,16.604632,9.04627,20.752513,15.990166,27.809937,15.984756,27.812871,9.325134,14.967238,9.325134,14.967238
2035-01-02 16:00:00,18.631428,26.781473,18.555697,26.422374,20.379105,27.102552,14.784193,14.614314,236.545859,30.893451,16.688095,21.409174,5.075394,4.095921,15.066608,17.414424,13.960005,15.218029,13.960005,15.218029,12.978105,13.634579,11.814706,11.758436,14.78399,14.543343,14.784193,14.614314,227.206067,30.873368,51.598793,36.041852,11.724121,10.923608,14.784689,14.786682,14.784683,14.784683,9.234014,8.657716,9.234014,8.657716
2035-01-02 17:00:00,60.019423,60.019423,59.147293,59.147293,67.531863,67.531863,18.49257,18.49257,1000.0,1000.0,13.455933,13.455933,2.330327,2.330327,29.853749,29.853749,23.645164,23.645164,23.645164,23.645164,19.747508,19.747508,15.129387,15.129387,18.184923,18.184923,18.49257,18.49257,959.839509,959.839509,208.591034,208.591034,11.772349,11.772349,19.239767,19.239767,19.231099,19.231099,9.50286,9.50286,9.50286,9.50286
2035-01-02 18:00:00,28.985522,28.985522,28.569439,28.569439,29.342267,29.342267,15.615507,15.615507,33.657788,33.657788,13.455933,13.455933,3.716918,3.716918,18.871705,18.871705,16.356984,16.356984,16.356984,16.356984,14.544203,14.544203,12.396338,12.396338,15.531891,15.531891,15.615507,15.615507,33.635007,33.635007,39.489145,39.489145,11.420444,11.420444,15.81859,15.81859,15.816234,15.816234,8.877592,8.877592,8.877592,8.877592
2035-01-02 19:00:00,21.048328,53.336544,21.127029,52.62651,22.128968,60.776629,12.356499,12.557443,143.360567,1000.0,21.67117,39.430748,6.631724,5.08682,21.740637,28.687218,20.672092,23.154161,20.672092,23.154161,18.956969,19.486691,16.924813,15.141305,11.655556,11.879882,12.356499,12.557443,138.112466,959.482846,39.510427,199.043051,16.575026,11.619756,13.423825,13.876343,13.201684,13.753131,12.712106,10.40591,12.712106,10.40591
2035-01-02 20:00:00,18.786843,19.596288,18.576507,19.615199,18.934464,19.777379,10.233813,20.544133,20.951336,20.574374,15.659567,19.78404,8.42327,6.611489,13.360179,19.753173,12.192253,19.132782,12.192253,19.132782,11.432934,18.168914,10.533259,17.026879,10.110617,22.518135,10.233813,20.544133,20.940864,20.569111,23.612295,22.039317,9.807121,17.751718,10.481031,14.193472,10.460991,13.753131,9.548261,13.239986,9.548261,13.239986
2035-01-02 21:00:00,16.348321,56.660178,16.247971,55.591407,16.503247,57.33793,13.579183,17.986714,17.890796,67.222001,14.815706,40.804622,5.34209,3.501328,13.61915,29.15483,12.760135,23.210736,12.760135,23.210736,11.968672,19.320221,11.030911,14.710561,13.584673,19.118445,13.579183,17.986714,17.883102,67.171099,19.901191,80.108666,11.013023,11.769247,13.565849,14.087796,13.566004,13.753131,8.865812,8.463398,8.865812,8.463398
